S. No.,Diameter D (mm),Depth of first layer of soil embedded X1 (m),Depth of second layer of soil embedded X2 (m),Depth of third layer of soil embedded X3 (m),Pile top elevation Xp (m),Ground elevation Xg (m),Extra pile top elevation Xt (m),Pile tip elevation Xm (m),SPT blow count at pile shaft Ns,SPT blow count at pile tip Nt,Pile bearing capacity Pu (kN)
1,400,3.45,8,0.3,2.95,3.65,2.95,14.7,11.75,7.59,1017.9
2,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1152
3,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1344
4,400,4.25,8,0.1,2.15,3.58,3.08,14.5,12.35,7.14,1551
5,400,4.35,8,1.06,2.05,3.55,2.09,15.46,13.41,7.66,1321
6,300,3.4,5.25,0,3.4,3.49,3.44,12.05,8.65,6.75,559.8
7,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1248
8,300,3.4,5.18,0,3.4,3.36,3.38,11.98,8.58,6.73,559.8
9,400,4.75,7.25,0,2.05,3.62,3.57,14.05,12,6.73,1425
10,300,3.4,5.25,0,3.4,3.47,3.42,12.05,8.65,6.75,559.8
11,300,3.4,5.2,0,3.4,3.42,3.42,12,8.6,6.73,660.6
12,400,3.45,5.24,0,3.35,3.44,3.4,12.04,8.69,6.72,1240
13,400,4.35,8,1.07,2.05,3.52,2.05,15.47,13.42,7.67,1425
14,400,4.1,2.17,0,2.7,3.7,2.73,8.97,6.27,4.92,661.6
15,400,3.55,5.39,0,3.25,3.44,3.25,12.19,8.94,6.72,1083
16,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1152
17,400,3.4,7.3,0,3.4,3.61,3.51,14.1,10.7,7.28,1115.2
18,300,3.4,5.2,0,3.4,3.43,3.43,12,8.6,6.73,610.7
19,300,3.4,5.2,0,3.4,3.42,3.42,12,8.6,6.73,661.6
20,400,4.1,1.8,0,2.7,3.39,2.79,8.6,5.9,4.64,620
21,400,3.45,8,0.3,2.95,3.66,2.96,14.7,11.75,7.59,960
22,300,3.4,5.27,0,3.4,3.49,3.42,12.07,8.67,6.75,559.8
23,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1248
24,400,4.65,7.4,0,2.15,3.59,3.39,14.2,12.05,6.8,1551
25,400,4.1,2,0,2.7,3.56,2.76,8.8,6.1,4.8,620
26,400,4.35,8,0.3,2.05,3.45,2.75,14.7,12.65,7.22,1473
27,400,4.35,8,1.03,2.05,3.48,2.05,15.43,13.38,7.65,1318
28,400,4.35,8,1.01,2.05,3.46,2.05,15.41,13.36,7.64,1473
29,400,4.1,1.72,0,2.7,3.27,2.75,8.52,5.82,4.57,423.9
30,400,3.4,7.28,0,3.4,3.48,3.4,14.08,10.64,7.27,1318
31,400,4.35,8,1.05,2.05,3.55,2.1,15.45,13.4,7.66,1221.5
32,300,3.4,5.2,0,3.4,3.43,3.43,12,8.6,6.73,559.8
33,400,4.25,8,0.96,2.15,3.53,2.17,15.36,13.21,7.65,1344
34,400,4.65,7.35,0,2.15,3.55,3.4,14.15,12,6.79,1392
35,400,3.85,7.5,0,2.95,3.68,3.38,14.3,11.35,7.13,1425
36,300,3.4,5.35,0,3.4,3.57,3.42,12.15,8.75,6.78,661.6
37,400,4.75,7.5,0,2.05,3.6,3.3,14.3,12.25,6.79,1425
38,400,4.35,8,0.95,2.05,3.41,2.06,15.35,13.3,7.6,1323.2
39,400,4.25,8,0.9,2.15,3.57,2.27,15.3,13.15,7.61,1473
40,400,4.35,8,0.96,2.05,3.42,2.06,15.36,13.31,7.61,1244
41,400,4.35,8,1.05,2.05,3.5,4.35,15.45,13.4,7.66,1297.8
42,400,4.65,7.4,0,2.15,3.59,3.39,14.2,12.05,6.8,1551
43,400,4.65,7.2,0,2.15,3.58,3.58,14,11.85,6.75,1551
44,400,4.1,2,0,2.7,3.5,2.7,8.8,6.1,4.8,610.7
45,400,4.35,8,0.95,2.05,3.44,2.09,15.35,13.3,7.6,1152
46,400,4.05,8,0.66,2.35,3.46,2.4,15.06,12.71,7.56,1318
47,400,3.5,8,0.2,2.9,3.51,2.91,14.6,11.7,7.5,960
48,400,4.35,8,0.98,2.05,3.48,2.1,15.38,13.33,7.62,1224.8
49,400,4.65,7.5,0,2.15,3.59,3.29,14.3,12.15,6.82,1551
50,400,4.65,7.46,0,2.15,3.56,3.3,14.26,12.11,6.81,1551
51,400,4.25,8,0.2,2.15,3.55,2.95,14.6,12.45,7.2,1392
52,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1344
53,400,3.4,7.24,0,3.4,3.44,3.4,14.04,10.64,7.26,967
54,400,4.25,8,0.99,2.15,3.54,2.15,15.39,13.24,7.66,1248
55,400,4.65,7.2,0,2.15,3.58,3.58,14,11.85,6.75,1392
56,400,4.1,2,0,2.7,3.54,2.74,8.8,6.1,4.8,712.5
57,400,4.65,6.3,0,2.15,3.55,4.45,13.1,10.95,6.53,1440
58,300,3.4,5.2,0,3.4,3.45,3.45,12,8.6,6.73,559.8
59,300,3.4,5.3,0,3.4,3.5,3.4,12.1,8.7,6.76,661.6
60,400,4.25,8,0.96,2.15,3.54,2.18,15.36,13.21,7.65,1395
61,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1344
62,400,4.65,7.4,0,2.15,3.59,3.39,14.2,12.05,6.8,1551
63,400,3.4,7.35,0,3.4,3.56,3.41,14.15,10.75,7.29,1052.4
64,400,4.35,8,1.07,2.05,3.52,2.05,15.47,13.42,7.67,1082.3
65,400,4.75,7.6,0,2.05,3.44,3.04,14.4,12.35,6.81,1473
66,400,4.25,8,0.9,2.15,3.56,2.26,15.3,13.15,7.61,1395
67,300,3.4,5.35,0,3.4,3.57,3.42,12.15,8.75,6.78,661.6
68,400,3.5,8,0.18,2.9,3.51,2.91,14.58,11.68,7.49,1032.4
69,300,3.4,5.2,0,3.4,3.42,3.42,12,8.6,6.73,559.8
70,400,3.4,7.33,0,3.4,3.55,3.42,14.13,10.73,7.28,1094.25
71,400,4.25,8,1,2.15,3.55,2.15,15.4,13.25,7.67,1248
72,400,3.45,8,0.2,2.95,3.52,2.92,14.6,11.65,7.52,967
73,400,3.5,8,0.17,2.9,3.47,2.9,14.57,11.67,7.48,960
74,400,3.45,8,0.14,2.95,3.52,2.98,14.54,11.59,7.48,885
75,400,3.45,8,0.07,2.95,3.42,2.95,14.47,11.52,7.44,1240
76,400,5.4,6.3,0,2.15,3.52,1.06,13.1,14.7,5.5,1056
77,300,3.4,5.2,0,3.4,3.43,3.43,12,8.6,6.73,600.7
78,300,3.4,5.3,0,3.4,3.52,3.42,12.1,8.7,6.76,508.9
79,400,3.55,5.36,0,3.25,3.41,3.25,12.16,8.91,6.71,930
80,400,4.35,8,1.18,2.05,3.66,2.08,15.58,13.53,7.73,1056
81,400,4.1,2,0,2.7,3.52,2.72,8.8,6.1,4.8,610.7
82,300,3.4,5.25,0,3.4,3.49,3.44,12.05,8.65,6.75,610.7
83,400,4.25,8,1,2.15,3.55,2.15,15.4,13.25,7.67,1344
84,300,3.4,5.2,0,3.4,3.38,3.38,12,8.6,6.73,610.7
85,400,4.25,8,0.9,2.15,3.59,2.29,15.3,13.15,7.61,1473
86,400,4.1,1.85,0,2.7,3.35,2.7,8.65,5.95,4.68,508.9
87,300,3.4,5.2,0,3.4,3.43,3.43,12,8.6,6.73,661.6
88,400,4.25,8,0.94,2.15,3.54,2.2,15.34,13.19,7.64,1395
89,400,4.25,8,0.9,2.15,3.59,2.29,15.3,13.15,7.61,1551
90,400,4.75,7.25,0,2.05,3.65,3.6,14.05,12,6.73,1425
91,400,4.25,8,1.02,2.15,3.58,2.16,15.42,13.27,7.68,1152
92,400,4.35,8,1.05,2.05,3.53,2.08,15.45,13.4,7.66,1473
93,400,3.45,8,0.14,2.95,3.52,2.98,14.54,11.59,7.48,885
94,400,4.1,1.9,0,2.7,3.43,2.73,8.7,6,4.72,620
95,400,4.35,8,0.97,2.05,3.42,2.05,15.37,13.32,7.61,1317
96,400,4.65,6.49,0,2.15,3.59,4.3,13.29,11.14,6.58,1551
97,400,3.4,7.31,0,3.4,3.56,3.45,14.11,10.71,7.28,1032.4
98,300,3.4,5.25,0,3.4,3.48,3.43,12.05,8.65,6.75,610.7
99,400,3.45,8,0.19,2.95,3.56,2.97,14.59,11.64,7.52,1318
100,400,3.45,6.29,0,3.35,3.44,3.35,13.09,9.74,7.02,1240
101,300,3.4,5.24,0,3.4,3.49,3.45,12.04,8.64,6.75,610.7
102,400,4.25,8,0.7,2.15,3.58,2.48,15.1,12.95,7.5,1392
103,300,3.4,5.25,0,3.4,3.47,3.42,12.05,8.65,6.75,585.4
104,400,4.25,8,1,2.15,3.56,2.16,15.4,13.25,7.67,1152
