,Average Cohesion (kN/m2),Average Friction angle (°),Average soil Specific weight (kN/m3),Average Pile-Soil friction angle (°),Pile Area (m2),Pile Length (m),Pile Capacity (kN)
0,33.0,28.85,9.82,12.49,0.1,19.5,1040.0
1,33.0,29.89,9.73,12.41,0.1,23.5,1400.0
2,33.0,28.81,9.82,12.49,0.1,19.4,990.0
3,0.0,28.0,9.57,12.27,0.1,19.5,960.0
4,0.0,28.0,9.69,12.22,0.1,23.5,1330.0
5,63.0,5.0,9.69,11.2,0.1,19.4,1230.0
6,6.37,29.84,9.7,14.0,0.16,25.3,3335.0
7,6.8,29.3,9.92,14.0,0.16,21.5,2000.0
8,6.4,29.78,9.73,14.0,0.16,24.9,3142.0
9,7.0,29.0,10.03,14.0,0.16,19.9,2520.0
10,6.64,29.48,9.84,14.0,0.16,22.7,2840.0
11,6.4,29.8,9.72,14.0,0.16,25.0,3867.0
12,6.34,29.87,9.69,14.0,0.16,25.6,4012.0
13,6.65,29.46,9.85,14.0,0.16,22.6,2278.0
14,7.0,29.0,10.34,14.0,0.16,15.2,1900.0
15,138.0,4.23,7.52,14.0,0.16,22.9,2500.0
16,142.0,4.14,7.55,14.0,0.16,23.4,2250.0
17,148.0,4.03,7.58,14.0,0.16,24.0,2700.0
18,8.7,24.0,8.55,11.75,0.89,61.0,19000.0
19,7.72,26.04,9.54,12.84,0.89,82.0,24900.0
20,1.4,29.39,9.1,13.75,1.59,98.0,48470.0
21,1.58,27.67,8.66,12.68,1.17,98.0,36250.0
22,4.87,26.77,8.81,12.1,1.59,98.0,52100.0
23,2.76,28.39,8.93,13.12,1.59,90.0,49350.0
24,7.47,35.99,12.91,16.68,0.1,18.0,5900.0
25,6.59,35.64,12.92,16.13,0.1,20.4,6200.0
26,6.71,35.69,12.92,16.2,0.1,20.0,6120.0
27,7.78,36.62,13.19,17.0,0.1,16.1,4280.0
28,7.78,36.62,13.15,17.0,0.1,16.4,3130.0
29,7.83,36.56,13.49,17.0,0.07,14.2,1321.0
30,7.83,36.57,13.46,17.0,0.1,14.4,1300.0
31,7.79,36.6,13.27,17.0,0.13,15.6,1830.0
32,14.6,32.22,9.89,13.75,0.16,15.2,1043.0
33,14.6,32.22,9.89,13.75,0.1,15.2,987.0
34,51.4,0.0,11.19,14.0,0.16,24.5,2030.0
35,26.0,0.0,11.68,14.0,0.16,16.0,1145.0
36,54.8,0.0,11.15,14.0,0.16,25.9,2250.0
37,0.07,22.43,11.33,15.45,0.16,25.5,2600.0
38,0.06,23.79,11.26,15.51,0.16,28.5,2200.0
39,51.8,11.81,7.3,14.88,0.16,26.5,2920.0
40,51.0,12.24,7.36,15.02,0.16,27.2,2880.0
41,58.6,11.43,8.34,14.59,0.16,14.5,680.0
42,58.5,11.38,8.29,14.58,0.16,14.7,540.0
43,136.0,27.82,8.94,14.0,0.16,18.2,2100.0
44,137.0,27.1,8.84,14.0,0.16,19.5,1700.0
45,138.0,29.3,9.21,14.0,0.16,15.9,2200.0
46,18.2,20.0,5.45,13.75,0.09,60.0,2750.0
47,17.9,19.76,5.43,13.82,0.09,62.0,2870.0
48,17.0,18.93,5.384,14.07,0.09,70.0,3050.0
49,45.8,31.11,11.23,10.14,0.78,20.5,2670.0
50,49.8,31.01,11.2,12.47,1.16,22.5,3350.0
51,45.8,31.11,11.23,10.14,0.78,20.5,3750.0
52,45.8,31.11,11.23,10.14,0.78,20.5,4100.0
53,45.8,31.11,11.23,10.14,0.78,20.5,3450.0
54,45.2,31.12,11.23,12.63,0.78,20.2,3570.0
55,48.8,31.03,11.21,12.5,1.16,22.0,3570.0
56,44.7,31.14,11.24,12.65,1.16,20.0,4936.0
57,51.5,30.97,11.2,12.4,1.16,23.5,4900.0
58,49.8,31.01,11.2,12.47,1.16,22.5,4650.0
59,41.1,31.23,11.25,12.78,1.16,18.5,2150.0
60,42.4,31.2,11.24,12.74,1.16,19.0,4150.0
61,45.8,31.11,11.23,10.14,0.89,20.5,3600.0
62,44.7,31.14,11.24,12.65,0.89,20.0,4000.0
63,49.8,31.01,11.2,12.47,1.16,22.5,3870.0
64,8.21,25.02,9.045,12.295,0.89,71.5,21965.0
65,6.58,29.57,9.81,14.0,0.16,23.4,2682.5
66,6.7,29.39,9.88,14.0,0.16,22.4,2846.0
67,6.52,29.64,9.78,14.0,0.16,23.8,3368.5
68,7.03,35.815,12.915,16.405,0.1,19.2,6065.0
69,6.49,29.665,9.77,14.0,0.16,24.1,3160.0
70,8.59,16.615,8.93,14.0,0.16,19.0,2215.0
71,9.2,4.083,7.565,14.0,0.16,23.7,2490.0
72,7.24,36.155,13.055,16.6,0.1,18.1,5215.0
73,7.8,36.59,13.32,17.0,0.08,15.3,2240.5
74,7.81,36.585,13.365,17.0,0.11,15.0,1580.0
75,24.6,32.22,9.89,13.75,0.13,15.2,1030.0
76,33.7,0.0,11.432,14.0,0.16,20.2,1602.5
77,27.4,11.215,11.24,14.725,0.16,25.7,2440.0
78,21.49,28.53,8.88,13.215,1.38,32.2,4275.0
79,23.81,27.58,8.8715,12.61,1.59,36.5,5740.0
80,25.9,17.8,9.28,15.195,0.16,27.5,2575.0
81,27.4,19.6,8.615,14.29,0.16,16.4,1335.0
82,38.0,28.2,9.025,14.0,0.16,23.7,1965.0
83,28.1,19.88,5.44,13.785,0.09,27.0,2825.0
84,31.4,25.02,8.305,12.105,0.44,25.0,2875.0
85,45.8,31.11,11.23,10.14,0.78,35.5,3790.0
86,54.8,11.835,7.85,14.805,0.16,37.8,1795.0
87,47.8,31.06,11.215,11.305,0.97,21.5,3565.0
88,47.0,31.075,11.22,12.565,0.97,21.1,3585.0
89,48.1,31.055,11.217,12.525,1.16,21.7,3870.0
90,45.4,31.12,10.967,12.625,1.16,20.5,3415.0
91,44.1,31.155,11.235,11.44,1.02,19.7,5465.0
92,49.8,31.01,11.2,12.47,1.16,22.5,4275.0
93,31.1,34.42,11.54,15.375,0.1,15.7,2648.5
94,29.6,18.31,12.17,15.5,0.13,20.4,2595.0
95,33.0,29.37,9.775,12.45,0.1,21.5,1235.0
96,28.5,28.405,9.695,12.38,0.1,19.4,1145.0
97,31.5,16.5,9.69,11.71,0.1,21.4,1295.0
98,26.9,18.28,12.582,15.5,0.11,15.1,1248.0
99,31.3,18.285,12.305,15.5,0.13,20.1,1790.0
