,Cross section area m2,Embedded Depth (m),Friction angle ϕ (deg),Effective Stress σv' (kPa),Qmax (kN)
0,0.2827433388230814,17.5,36.0,127.0,2230.0
1,0.2827433388230814,17.5,36.0,127.0,2450.0
2,0.2827433388230814,16.0,36.0,118.0,2250.0
3,0.2827433388230814,20.0,36.0,135.0,2830.0
4,0.2827433388230814,17.5,36.0,127.0,3050.0
5,0.6647610054996003,18.3,33.0,89.0,6900.0
6,0.04523893421169302,5.0,35.0,50.0,270.0
7,0.6361725123519332,11.0,41.0,113.0,8870.0
8,1.539380400258999,36.5,40.0,311.0,92200.0
9,0.1661902513749001,20.6,40.0,89.0,1668.0
10,0.09621127501618741,10.0,30.0,90.0,331.0
11,0.1256637061435917,10.0,30.0,90.0,460.0
12,0.650388219109427,19.2,41.0,135.0,6950.0
13,0.4536459791783661,16.7,41.0,94.0,4150.0
14,0.2922466566001905,5.5,30.0,45.0,400.0
15,0.2922466566001905,8.2,32.0,67.0,979.0
16,0.2042820622996763,12.2,34.0,53.0,863.0
17,0.2922466566001905,21.3,34.0,102.0,2727.0
18,0.4536459791783661,23.0,26.0,164.0,6867.0
19,0.4536459791783661,8.8,31.0,148.0,5690.0
20,0.4536459791783661,11.1,32.0,167.0,8927.0
21,0.6221138852271189,12.0,31.0,109.0,9786.0
22,0.1017876019763093,9.1,31.0,76.0,687.0
23,0.3117245310524472,9.3,31.0,50.0,932.0
24,0.4656625710783471,9.4,35.0,50.0,1893.0
25,0.4656625710783471,12.2,32.0,65.0,2845.0
26,0.5026548245743669,14.9,30.0,80.0,2747.0
27,0.6939778171779852,15.2,26.0,82.0,4169.0
28,0.6939778171779852,9.5,35.0,88.0,2796.0
29,0.2922466566001905,7.0,32.0,74.0,1265.0
30,0.21237166338267,24.0,30.0,170.0,2305.0
31,0.5026548245743669,11.0,26.0,82.0,1550.0
32,0.1661902513749001,5.2,30.0,43.0,1550.0
33,0.4536459791783661,5.2,30.0,43.0,2700.0
34,0.4536459791783661,4.3,30.0,34.0,680.0
35,0.7853981633974483,40.0,30.0,200.0,9900.0
36,0.4536459791783661,15.5,35.0,95.0,3041.0
37,0.4536459791783661,8.7,31.0,120.0,9712.0
38,0.4536459791783661,11.9,37.0,83.0,2600.0
39,0.1809557368467721,8.2,36.0,14.0,622.7
40,0.07068583470577035,3.7,37.0,42.0,191.3
41,0.8992023572737387,6.4,36.0,19.0,980.7
42,0.650388219109427,2.4,33.0,21.0,267.7
43,0.650388219109427,3.1,34.0,27.0,490.3
44,0.1017876019763093,6.1,35.0,49.0,686.5
45,0.1017876019763093,7.6,35.0,58.0,686.5
46,0.1017876019763093,9.1,35.0,70.0,686.5
47,0.1017876019763093,10.7,35.0,74.0,686.5
48,0.1017876019763093,12.2,35.0,77.0,686.5
49,0.4300840342764427,2.1,44.0,20.0,622.7
50,0.4300840342764427,3.1,44.0,29.0,2108.0
51,0.1963495408493621,10.0,30.0,90.0,500.0
52,0.01539380400258999,5.0,36.0,42.0,110.0
53,0.01539380400258999,5.0,36.0,42.0,68.0
54,0.01539380400258999,6.0,35.0,76.0,85.0
55,0.01539380400258999,6.0,35.0,76.0,85.0
56,0.2922466566001905,4.6,30.0,40.0,266.9
57,0.3216990877275949,3.2,28.0,29.0,756.2
58,1.814583916713464,12.2,34.0,57.0,3138.0
59,0.21237166338267,7.0,29.0,63.0,533.7
60,0.2206183440983432,12.0,31.0,80.0,714.0
61,0.2922466566001905,2.4,35.0,19.0,313.8
62,0.2922466566001905,2.4,35.0,19.0,392.7
63,0.1963495408493621,10.0,28.0,51.0,686.4
64,0.1963495408493621,10.0,28.0,51.0,764.9
65,2.24,40.62,34.0,227.3,24700.0
66,2.0,44.0,32.0,270.45,37000.0
67,2.16,51.2,33.6,309.24,59330.535
68,2.24,17.15,41.0,103.62,21500.0
