,Cross section area m2,Total Pile Length L (m),Undrained Shear Strength Cu (kPa),Qmax (kN)
0,0.02544690049407733,1.8,47.0,75.0
1,0.02544690049407733,3.1,43.0,112.0
2,0.02544690049407733,4.1,45.0,181.0
3,0.02544690049407733,4.3,45.0,199.0
4,0.7853981633974483,25.8,101.0,4850.0
5,0.7853981633974483,26.7,102.0,5400.0
6,1.130973355292326,25.5,100.0,6350.0
7,0.2042820622996763,12.2,49.0,863.0
8,0.2922466566001905,21.3,69.0,2727.0
9,0.4536459791783661,23.0,153.0,6867.0
10,0.4536459791783661,8.8,424.0,5690.0
11,0.4536459791783661,11.1,483.0,8927.0
12,0.6221138852271189,12.0,204.0,9786.0
13,0.4656625710783471,9.4,96.0,1893.0
14,0.4656625710783471,12.2,104.0,2845.0
15,0.5026548245743669,14.9,117.0,2747.0
16,0.6939778171779852,15.2,117.0,4169.0
17,0.2922466566001905,7.0,115.0,1265.0
18,0.21237166338267,24.0,133.0,2305.0
19,0.4536459791783661,5.2,69.0,2700.0
20,0.4536459791783661,4.3,69.0,680.0
21,0.7853981633974483,40.0,113.0,9900.0
22,0.4536459791783661,7.4,130.0,6867.0
23,0.4536459791783661,6.5,99.0,6475.0
24,0.4536459791783661,9.7,154.0,5984.0
25,0.650388219109427,4.9,77.0,3041.0
26,0.650388219109427,4.8,77.0,2207.0
27,0.650388219109427,4.7,127.0,7554.0
28,0.4536459791783661,8.7,246.0,9712.0
29,0.4536459791783661,11.9,192.0,2600.0
30,0.4536459791783661,11.6,192.0,3335.0
31,0.4536459791783661,11.9,192.0,3286.0
32,0.4536459791783661,12.8,210.0,4218.0
33,0.650388219109427,30.5,109.0,9270.0
34,0.5541769440932395,6.5,136.0,5886.0
35,0.5152997350050659,5.0,121.0,4415.0
36,0.3216990877275949,9.5,201.0,7259.0
37,0.4901669937763475,9.7,201.0,6131.0
38,0.7853981633974483,49.5,147.0,11772.0
39,1.130973355292326,57.1,128.0,19620.0
40,0.7853981633974483,46.5,189.0,14715.0
41,0.7853981633974483,43.0,76.0,12851.0
42,0.7853981633974483,41.0,94.0,8142.0
43,1.130973355292326,43.6,88.0,14617.0
44,0.1661902513749001,15.2,96.0,1680.0
45,2.544690049407733,32.0,76.0,11380.0
46,0.650388219109427,3.1,78.0,1335.0
47,0.4417864669110647,7.2,505.0,6000.0
48,0.4417864669110647,7.1,503.0,6000.0
49,0.7853981633974483,7.6,294.0,4500.0
50,0.4536459791783661,7.0,119.0,1472.0
51,0.4536459791783661,13.7,136.0,3188.0
52,0.7853981633974483,53.0,178.0,12606.0
53,0.7853981633974483,55.0,178.0,12557.0
54,1.327322896141688,9.5,41.0,3300.0
55,1.767145867644259,57.0,272.0,26487.0
56,1.767145867644259,46.8,146.0,16187.0
57,1.767145867644259,38.2,125.0,17168.0
58,1.767145867644259,57.5,46.0,27000.0
59,3.141592653589793,33.4,78.0,25000.0
60,0.2922466566001905,5.5,101.0,1011.0
61,0.4536459791783661,4.6,101.0,855.0
62,0.3216990877275949,3.2,93.0,756.2
63,0.2042820622996763,1.8,32.0,667.2
64,1.814583916713464,12.2,52.0,3138.0
65,0.09621127501618741,8.0,56.0,444.8
66,0.21237166338267,7.0,57.0,533.7
67,0.3019070540099791,4.4,26.0,238.0
68,0.2922466566001905,2.4,68.0,392.7
69,1.767145867644259,52.0,100.0,17652.0
70,1.767145867644259,48.0,100.0,16671.0
71,1.130973355292326,35.0,32.0,3922.0
72,2.25,63.1,128.0,54000.0
73,4.5,57.5,189.0,52500.0
74,4.5,57.5,189.0,51971.8
75,3.24,57.7,94.0,23534.4
76,1.68,47.4,203.0,30900.0
77,2.16,83.0,108.0,60801.53999999999
78,2.08,49.0,87.0,41000.0
79,2.08,47.8,94.0,35000.0
80,2.16,43.8,120.0,27458.76
